SampleID	Strain	Clade	Genotype	Condition	LibraryName	WetWeight	LibraryPrepBatch	Resequenced	ReadCount	CountsFile
72-E-B	72	L4.4	Evolved	Biofilm	31-E-B	1.9599	2	Y	64	HTSeqCounts/31-E-B_HTSeqCounts.txt
72-E-B	72	L4.4	Evolved	Biofilm	32-E-B	1.9599	4	Y	54	HTSeqCounts/32-E-B_HTSeqCounts.txt
345-A-P	345	L4.4	Ancestral	Planktonic	33-A-P	1.561533333	4	Y	71	HTSeqCounts/33-A-P_HTSeqCounts.txt
345-A-P	345	L4.4	Ancestral	Planktonic	34-A-P	1.561533333	4	Y	72	HTSeqCounts/34-A-P_HTSeqCounts.txt
345-E-P	345	L4.4	Evolved	Planktonic	35-E-P	3.889133333	5	Y	73	HTSeqCounts/35-E-P_HTSeqCounts.txt
345-E-P	345	L4.4	Evolved	Planktonic	36-E-P	3.889133333	5	N	51	HTSeqCounts/36-E-P_HTSeqCounts.txt
345-A-B	345	L4.4	Ancestral	Biofilm	37-A-B	1.561533333	5	N	87	HTSeqCounts/37-A-B_HTSeqCounts.txt
345-A-B	345	L4.4	Ancestral	Biofilm	38-A-B	1.561533333	5	N	87	HTSeqCounts/38-A-B_HTSeqCounts.txt
345-E-B	345	L4.4	Evolved	Biofilm	39-E-B	3.889133333	5	N	68	HTSeqCounts/39-E-B_HTSeqCounts.txt
345-E-B	345	L4.4	Evolved	Biofilm	40-E-B	3.889133333	5	N	90	HTSeqCounts/40-E-B_HTSeqCounts.txt
540-A-P	540	L4.4	Ancestral	Planktonic	41-A-P	0.7599	5	Y	69	HTSeqCounts/41-A-P_HTSeqCounts.txt
540-A-P	540	L4.4	Ancestral	Planktonic	42-A-P	0.7599	5	Y	71	HTSeqCounts/42-A-P_HTSeqCounts.txt
540-E-P	540	L4.4	Evolved	Planktonic	43-E-P	1.899166667	2	N	51	HTSeqCounts/43-E-P_HTSeqCounts.txt
540-E-P	540	L4.4	Evolved	Planktonic	44-E-P	1.899166667	2	Y	72	HTSeqCounts/44-E-P_HTSeqCounts.txt
540-A-B	540	L4.4	Ancestral	Biofilm	45-A-B	0.7599	2	Y	76	HTSeqCounts/45-A-B_HTSeqCounts.txt
540-A-B	540	L4.4	Ancestral	Biofilm	46-A-B	0.7599	5	N	61	HTSeqCounts/46-A-B_HTSeqCounts.txt
540-E-B	540	L4.4	Evolved	Biofilm	47-E-B	1.899166667	5	N	63	HTSeqCounts/47-E-B_HTSeqCounts.txt
540-E-B	540	L4.4	Evolved	Biofilm	48-E-B	1.899166667	2	N	80	HTSeqCounts/48-E-B_HTSeqCounts.txt
