gene,direction
Rv2366c,down
Rv2367c,down
Rv2472,down
Rv2475c,down
Rv2484c,down
Rv2499c,down
Rv2553c,down
Rv2576c,down
Rv2581c,down
Rv2613c,down
Rv2658c,down
Rv2663,down
Rv2709,down
Rv2714,down
Rv2715,down
Rv2729c,down
Rv2777c,down
Rv2791c,down
Rv2837c,down
Rv2842c,down
Rv2851c,down
Rv2901c,down
Rv2926c,down
Rv2969c,down
Rv2970A,down
Rv2978c,down
Rv3050c,down
Rv3060c,down
Rv3095,down
Rv3098A,down
Rv3160c,down
Rv3172c,down
Rv3173c,down
Rv3197,down
Rv3230c,down
Rv3237c,down
Rv3269,down
Rv3295,down
Rv3424c,down
Rv3489,down
Rv3491,down
Rv3542c,down
Rv3566A,down
Rv3612c,down
Rv3613c,down
Rv3626c,down
Rv3642c,down
Rv3680,down
Rv3722c,down
Rv3821,down
Rv3857c,down
Rv3898c,down
Rv3916c,down
Rv3921c,down
Rv3922c,down
TB16.3,down
accD4,down
adhB,down
adoK,down
ahpE,down
alaS,down
atpA,down
atpC,down
atpD,down
atpE,down
atpF,down
atpG,down
atpH,down
bfrA,down
bkdB,down
bkdC,down
clpP2,down
cspA,down
ctaE,down
cwlM,down
cya,down
cyp125,down
cyp136,down
cyp140,down
cysA2,down
cysH,down
cysM,down
cysO,down
dfp,down
dlaT,down
dnaJ1,down
eccA1,down
eccB3,down
eccB5,down
eccC3,down
eccC5,down
eccD3,down
eccD5,down
eccE5,down
echA12,down
echA4,down
era,down
espE,down
espG1,down
espI,down
espJ,down
espL,down
espR,down
esxC,down
esxG,down
esxH,down
fabD,down
fadB,down
fadD21,down
fadD25,down
fadD31,down
fadE19,down
fadE22,down
fas,down
fdxD,down
fhaB,down
fic,down
folB,down
folE,down
frr,down
ftsH,down
gcpE,down
gcvB,down
gcvH,down
gdh,down
glcB,down
glfT2,down
glnA1,down
glnA2,down
gltB,down
gmdA,down
gnd1,down
guaB2,down
gyrA,down
helY,down
higA,down
hisB,down
hisC1,down
hisI,down
hns,down
hpt,down
hsaB,down
hsaC,down
hspR,down
ilvN,down
iniA,down
kasB,down
katG,down
lepB,down
leuA,down
leuD,down
lppD,down
lppE,down
lppL,down
lppU,down
lpqB,down
lspA,down
lysU,down
mazE4,down
mazF2,down
mazF3,down
mazF4,down
mazF6,down
mca,down
mce1D,down
mce1F,down
mce2A,down
mec,down
metK,down
mmaA3,down
mmpL3,down
mmpS3,down
moaB2,down
moaC2,down
moaD2,down
moxR1,down
mprB,down
mpt53,down
mqo,down
mrp,down
mshC,down
mtrA,down
mtrB,down
murX,down
mutA,down
mutB,down
mycP3,down
mycP5,down
nadA,down
nadB,down
nadC,down
nadE,down
narH,down
narI,down
ncRv0539c,down
ncRv10071,down
ncRv1047c,down
ncRv11147c,down
ncRv11160,down
ncRv11172c,down
ncRv11221,down
ncRv11706,down
ncRv11846c,down
ncRv12783c,down
ncRv13219,down
ncRv13241c,down
ncRv13460c,down
ncRv13681c,down
ncRv13871,down
ncRv1430Ac,down
ncRv1629c,down
ncRv1813,down
ncRv1838,down
ncRv2006c,down
ncRv2816,down
ncRv3206,down
ncRv3645c,down
ncRv3917c,down
ndh,down
nrdF1,down
nrdR,down
nusA,down
pafA,down
parE1,down
parE2,down
pbpA,down
pcaA,down
pflA,down
phoH2,down
phoT,down
phoY2,down
pirG,down
pknA,down
pknB,down
pknD,down
pknE,down
pknG,down
pks13,down
plsC,down
pncA,down
ponA1,down
ponA2,down
prfA,down
prfB,down
pstP,down
purF,down
pyrG,down
qcrA,down
qcrB,down
rbfA,down
regX3,down
relA,down
relB,down
rfbE,down
rip,down
rnc,down
rodA,down
rpfD,down
rplA,down
rplQ,down
rplW,down
rplX,down
rpmI,down
rpoA,down
rpoC,down
rpsA,down
rpsB,down
rpsF,down
rpsK,down
rpsN1,down
rpsP,down
rpsS,down
rseA,down
rubB,down
sORF_120,down
sORF_122,down
sORF_149,down
sORF_195,down
sORF_213,down
sORF_223,down
sORF_224,down
sORF_237,down
sORF_239,down
sORF_249,down
sORF_260,down
sORF_272,down
sORF_43,down
sORF_53,down
sORF_72,down
sORF_73,down
sORF_77,down
sORF_92,down
sORF_96,down
scoB,down
secA2,down
secD,down
secE1,down
secF,down
senX3,down
sigA,down
sigH,down
sirA,down
sodA,down
ssb,down
sseA,down
sthA,down
sugA,down
sugB,down
tal,down
tatA,down
tatB,down
tatC,down
tesB2,down
thiC,down
treS,down
trpT,down
trxA,down
trxB1,down
trxC,down
tuf,down
umaA,down
uvrB,down
valT,down
vapB1,down
vapB2,down
vapB28,down
vapB29,down
vapB36,down
vapB41,down
vapB6,down
vapC17,down
vapC2,down
vapC25,down
vapC28,down
vapC35,down
vapC36,down
vapC41,down
vapC44,down
whiB2,down
